service_order_no,order_date,region,technician_id,job_code,job_description,parts_cost,labor_cost,truck_cost,base_cost,list_price,discount_pct,sell_price,warranty_flag,margin_amount,margin_pct
54150,2024-02-16,EU-EMEA-Remote,T0365,82010,Evaporator Coil Replace,143.55,45.53,19.72,208.8,257.1,0.033,248.62,0,39.82,0.1602
54151,2024-08-15,EU-EMEA-Remote,T0268,81120,Compressor Repair/Replace,953.94,116.61,17.26,1087.81,1294.82,0.085,1184.76,0,96.95,0.0818
54152,2024-02-08,DE-Hamburg,T0112,84015,Leak Diagnosis & Seal,226.87,54.51,23.81,305.19,329.64,0.044,315.14,0,9.95,0.0316
54153,2024-01-16,NL-Amsterdam,T0201,83020,Thermostat Replace,173.71,99.31,18.35,291.37,360.38,0.02,353.17,0,61.8,0.175
54154,2024-01-22,DE-Hamburg,T0158,81120,Compressor Repair/Replace,183.76,57.11,5.0,245.87,315.47,0.2,252.38,1,6.51,0.0258
54155,2024-07-31,AT-Vienna,T0435,81433,Drier Replace,652.31,87.8,15.4,755.51,985.48,0.006,979.57,0,224.06,0.2287
54156,2024-11-05,DE-Munich,T0088,82010,Evaporator Coil Replace,299.77,46.99,19.47,366.23,427.65,0.015,421.24,0,55.01,0.1306
54157,2024-05-28,DE-Berlin,T0441,85005,Refrigerant Charge,390.54,49.3,13.38,453.22,549.41,0.096,496.67,0,43.45,0.0875
54158,2024-08-28,EU-EMEA-Remote,T0253,81120,Compressor Repair/Replace,433.76,98.62,23.21,555.59,762.29,0.083,699.02,0,143.43,0.2052
54159,2024-09-28,EU-EMEA-Remote,T0378,81120,Compressor Repair/Replace,317.86,87.18,15.94,420.98,518.03,0.101,465.71,1,44.73,0.096
54160,2024-02-28,NL-Amsterdam,T0191,82010,Evaporator Coil Replace,462.38,92.84,21.65,576.87,704.52,0.035,679.86,0,102.99,0.1515
54161,2024-10-13,DE-Hamburg,T0016,85005,Refrigerant Charge,131.39,83.04,39.34,253.77,335.59,0.045,320.49,0,66.72,0.2082
54162,2024-07-20,DE-Berlin,T0004,84015,Leak Diagnosis & Seal,213.68,116.94,31.82,362.44,452.2,0.052,428.69,0,66.25,0.1545
54163,2024-02-01,DE-Munich,T0094,84015,Leak Diagnosis & Seal,292.57,91.51,26.73,410.81,480.72,0.068,448.03,1,37.22,0.0831
54164,2024-06-10,DE-Berlin,T0276,81433,Drier Replace,25.6,91.31,36.47,153.38,158.89,0.079,146.34,1,-7.04,-0.0481
54165,2024-09-11,NL-Amsterdam,T0254,81433,Drier Replace,110.17,36.77,21.42,168.36,193.56,0.022,189.3,0,20.94,0.1106
54166,2024-09-10,AT-Vienna,T0239,85005,Refrigerant Charge,244.18,53.44,21.5,319.12,411.59,0.097,371.67,1,52.55,0.1414
54167,2024-01-09,DE-Hamburg,T0090,81433,Drier Replace,332.55,112.63,13.56,458.74,521.25,0.097,470.69,0,11.95,0.0254
54168,2024-05-18,DE-Hamburg,T0481,84015,Leak Diagnosis & Seal,1045.75,81.64,32.23,1159.62,1477.64,0.075,1366.82,0,207.2,0.1516
54169,2024-01-10,DE-Munich,T0271,81433,Drier Replace,367.06,81.6,37.66,486.32,545.94,0.097,492.98,1,6.66,0.0135
54170,2024-08-01,AT-Vienna,T0488,83020,Thermostat Replace,232.4,69.87,29.26,331.53,392.31,0.089,357.39,1,25.86,0.0724
54171,2024-09-29,AT-Vienna,T0271,82010,Evaporator Coil Replace,472.57,69.93,33.39,575.89,667.56,0.165,557.41,0,-18.48,-0.0332
54172,2024-11-19,EU-EMEA-Remote,T0038,81433,Drier Replace,416.27,87.32,5.0,508.59,596.71,0.048,568.07,0,59.48,0.1047
54173,2024-02-17,DE-Berlin,T0164,85005,Refrigerant Charge,159.31,50.95,40.72,250.98,338.49,0.041,324.61,0,73.63,0.2268
54174,2024-04-20,DE-Hamburg,T0081,83020,Thermostat Replace,126.71,101.99,21.17,249.87,292.63,0.153,247.86,1,-2.01,-0.0081
54175,2024-06-01,EU-EMEA-Remote,T0051,81120,Compressor Repair/Replace,323.59,33.28,40.85,397.72,461.0,0.019,452.24,0,54.52,0.1206
54176,2024-05-02,DE-Munich,T0343,82010,Evaporator Coil Replace,820.12,81.52,35.85,937.49,1147.82,0.1,1033.04,0,95.55,0.0925
54177,2024-12-22,DE-Munich,T0226,83020,Thermostat Replace,128.27,133.44,28.18,289.89,335.69,0.049,319.24,0,29.35,0.0919
54178,2024-04-11,DE-Hamburg,T0409,81433,Drier Replace,257.16,94.22,19.26,370.64,513.74,0.011,508.09,0,137.45,0.2705
54179,2024-08-28,DE-Munich,T0099,81433,Drier Replace,118.56,82.3,23.27,224.13,273.68,0.078,252.33,1,28.2,0.1118
54180,2024-11-16,DE-Berlin,T0102,84015,Leak Diagnosis & Seal,828.07,58.87,6.72,893.66,1133.54,0.028,1101.8,0,208.14,0.1889
54181,2024-07-09,AT-Vienna,T0133,85005,Refrigerant Charge,110.85,133.53,29.45,273.83,328.85,0.108,293.33,1,19.5,0.0665
54182,2024-08-04,EU-EMEA-Remote,T0075,84015,Leak Diagnosis & Seal,248.57,112.04,5.0,365.61,485.15,0.117,428.39,1,62.78,0.1465
54183,2024-02-20,DE-Hamburg,T0462,81120,Compressor Repair/Replace,577.38,55.2,19.61,652.19,806.98,0.09,734.35,1,82.16,0.1119
54184,2024-10-18,EU-EMEA-Remote,T0259,84015,Leak Diagnosis & Seal,605.87,64.65,34.35,704.87,913.22,0.114,809.11,1,104.24,0.1288
54185,2024-03-21,NL-Amsterdam,T0052,85005,Refrigerant Charge,154.66,119.13,27.77,301.56,386.41,0.022,377.91,0,76.35,0.202
54186,2024-03-28,AT-Vienna,T0216,81433,Drier Replace,313.54,134.29,9.76,457.59,585.63,0.26,433.37,1,-24.22,-0.0559
54187,2024-07-12,DE-Munich,T0289,81120,Compressor Repair/Replace,151.94,48.59,11.28,211.81,240.79,0.162,201.78,0,-10.03,-0.0497
54188,2024-04-13,EU-EMEA-Remote,T0091,84015,Leak Diagnosis & Seal,298.31,55.9,17.22,371.43,460.34,0.172,381.16,0,9.73,0.0255
54189,2024-09-27,DE-Berlin,T0281,81433,Drier Replace,310.63,79.97,22.63,413.23,517.79,0.231,398.18,1,-15.05,-0.0378
54190,2024-04-05,DE-Munich,T0404,85005,Refrigerant Charge,386.47,21.22,29.01,436.7,591.74,0.262,436.7,1,0.0,0.0
54191,2024-07-16,DE-Munich,T0164,84015,Leak Diagnosis & Seal,77.38,67.63,26.83,171.84,204.26,0.042,195.68,0,23.84,0.1218
54192,2024-01-01,DE-Berlin,T0139,82010,Evaporator Coil Replace,155.93,117.2,13.53,286.66,355.01,0.03,344.36,0,57.7,0.1676
54193,2024-06-15,EU-EMEA-Remote,T0434,85005,Refrigerant Charge,29.51,34.97,26.95,91.43,116.3,0.029,112.93,0,21.5,0.1904
54194,2024-05-05,DE-Munich,T0296,83020,Thermostat Replace,43.39,100.07,27.8,171.26,210.43,0.029,204.33,0,33.07,0.1618
54195,2024-11-08,AT-Vienna,T0077,82010,Evaporator Coil Replace,854.69,67.71,25.91,948.31,1085.62,0.09,987.91,0,39.6,0.0401
54196,2024-03-21,NL-Amsterdam,T0401,82010,Evaporator Coil Replace,231.5,118.78,41.83,392.11,460.26,0.08,423.44,1,31.33,0.074
54197,2024-09-07,DE-Berlin,T0243,82010,Evaporator Coil Replace,387.7,62.21,27.81,477.72,589.19,0.118,519.67,1,41.95,0.0807
54198,2024-06-17,DE-Munich,T0368,85005,Refrigerant Charge,62.8,115.69,29.74,208.23,251.96,0.109,224.5,0,16.27,0.0725
54199,2024-03-13,DE-Munich,T0446,82010,Evaporator Coil Replace,254.63,67.27,37.01,358.91,420.38,0.102,377.5,0,18.59,0.0492
54200,2024-05-20,DE-Berlin,T0295,81120,Compressor Repair/Replace,970.54,105.59,28.8,1104.93,1305.56,0.049,1241.59,0,136.66,0.1101
54201,2024-03-10,DE-Munich,T0262,83020,Thermostat Replace,158.7,72.84,17.59,249.13,318.66,0.114,282.33,1,33.2,0.1176
54202,2024-09-18,NL-Amsterdam,T0057,85005,Refrigerant Charge,217.5,80.13,31.94,329.57,370.94,0.06,348.68,0,19.11,0.0548
54203,2024-12-05,AT-Vienna,T0266,85005,Refrigerant Charge,131.2,61.87,18.79,211.86,265.16,0.154,224.33,1,12.47,0.0556
54204,2024-11-03,DE-Berlin,T0494,85005,Refrigerant Charge,306.65,74.44,14.14,395.23,449.29,0.148,382.8,0,-12.43,-0.0325
54205,2024-09-01,DE-Hamburg,T0089,84015,Leak Diagnosis & Seal,516.16,65.52,14.82,596.5,724.95,0.021,709.73,0,113.23,0.1595
54206,2024-01-03,EU-EMEA-Remote,T0389,84015,Leak Diagnosis & Seal,205.61,59.14,31.85,296.6,355.59,0.102,319.32,1,22.72,0.0712
54207,2024-12-02,DE-Munich,T0188,81120,Compressor Repair/Replace,307.94,100.19,26.96,435.09,502.98,0.104,450.67,0,15.58,0.0346
54208,2024-03-03,NL-Amsterdam,T0007,81433,Drier Replace,439.26,79.46,30.49,549.21,708.8,0.059,666.98,0,117.77,0.1766
54209,2024-02-18,DE-Berlin,T0431,81120,Compressor Repair/Replace,321.99,81.62,27.0,430.61,499.81,0.056,471.82,0,41.21,0.0873
54210,2024-03-16,EU-EMEA-Remote,T0019,81433,Drier Replace,140.24,83.47,23.51,247.22,274.85,0.142,235.82,0,-11.4,-0.0483
54211,2024-06-23,EU-EMEA-Remote,T0132,82010,Evaporator Coil Replace,296.82,63.03,24.54,384.39,434.63,0.212,342.49,0,-41.9,-0.1223
54212,2024-04-18,DE-Hamburg,T0330,84015,Leak Diagnosis & Seal,168.73,70.44,26.73,265.9,353.14,0.026,343.96,0,78.06,0.2269
54213,2024-07-01,DE-Hamburg,T0172,81120,Compressor Repair/Replace,318.98,85.43,17.18,421.59,501.88,0.189,407.02,0,-14.57,-0.0358
54214,2024-07-10,AT-Vienna,T0368,82010,Evaporator Coil Replace,259.87,101.97,11.68,373.52,528.73,0.219,412.94,0,39.42,0.0955
54215,2024-03-05,EU-EMEA-Remote,T0274,82010,Evaporator Coil Replace,382.01,83.15,18.12,483.28,514.41,0.037,495.38,0,12.1,0.0244
54216,2024-12-02,NL-Amsterdam,T0431,85005,Refrigerant Charge,79.79,61.81,26.35,167.95,229.78,0.07,213.7,0,45.75,0.2141
54217,2024-09-27,DE-Hamburg,T0345,84015,Leak Diagnosis & Seal,322.08,105.3,16.82,444.2,575.32,0.096,520.09,0,75.89,0.1459
54218,2024-04-09,DE-Berlin,T0478,82010,Evaporator Coil Replace,535.28,77.66,39.04,651.98,783.22,0.21,618.74,1,-33.24,-0.0537
54219,2024-02-01,AT-Vienna,T0412,82010,Evaporator Coil Replace,602.6,39.91,25.53,668.04,889.13,0.108,793.1,0,125.06,0.1577
54220,2024-12-17,EU-EMEA-Remote,T0438,82010,Evaporator Coil Replace,542.3,24.21,22.96,589.47,730.07,0.069,679.7,1,90.23,0.1327
54221,2024-05-07,DE-Munich,T0281,81120,Compressor Repair/Replace,623.14,73.87,17.15,714.16,874.56,0.105,782.73,0,68.57,0.0876
54222,2024-12-04,DE-Berlin,T0094,83020,Thermostat Replace,135.2,60.77,29.33,225.3,294.44,0.124,257.93,1,32.63,0.1265
54223,2024-02-12,NL-Amsterdam,T0131,84015,Leak Diagnosis & Seal,253.0,76.86,12.3,342.16,391.52,0.071,363.72,0,21.56,0.0593
54224,2024-03-18,DE-Berlin,T0201,82010,Evaporator Coil Replace,228.64,62.28,24.53,315.45,373.1,0.112,331.31,1,15.86,0.0479
54225,2024-11-09,DE-Berlin,T0243,83020,Thermostat Replace,214.3,80.21,18.52,313.03,369.22,0.252,276.18,1,-36.85,-0.1334
54226,2024-10-15,AT-Vienna,T0233,82010,Evaporator Coil Replace,241.0,67.11,22.97,331.08,395.05,0.159,332.24,0,1.16,0.0035
54227,2024-09-26,AT-Vienna,T0460,83020,Thermostat Replace,23.11,121.65,25.89,170.65,197.3,0.038,189.8,0,19.15,0.1009
54228,2024-06-10,NL-Amsterdam,T0392,81120,Compressor Repair/Replace,183.0,110.61,12.83,306.44,400.94,0.105,358.84,0,52.4,0.146
54229,2024-07-07,DE-Munich,T0006,85005,Refrigerant Charge,263.35,111.29,8.63,383.27,478.61,0.21,378.1,0,-5.17,-0.0137
54230,2024-09-03,DE-Munich,T0327,81433,Drier Replace,292.91,77.42,14.55,384.88,466.98,0.034,451.1,0,66.22,0.1468
54231,2024-08-03,DE-Hamburg,T0327,83020,Thermostat Replace,149.0,97.85,29.03,275.88,309.84,0.126,270.8,0,-5.08,-0.0188
54232,2024-11-10,DE-Munich,T0038,83020,Thermostat Replace,493.72,69.25,24.99,587.96,756.68,0.057,713.55,0,125.59,0.176
54233,2024-12-04,NL-Amsterdam,T0186,82010,Evaporator Coil Replace,484.79,100.12,18.78,603.69,656.16,0.079,604.32,0,0.63,0.001
54234,2024-06-16,DE-Hamburg,T0073,82010,Evaporator Coil Replace,189.79,65.57,37.75,293.11,347.82,0.066,324.86,0,31.75,0.0977
54235,2024-12-04,DE-Berlin,T0257,81433,Drier Replace,87.67,44.87,32.28,164.82,201.75,0.046,192.47,0,27.65,0.1437
54236,2024-07-11,EU-EMEA-Remote,T0084,84015,Leak Diagnosis & Seal,361.16,28.04,30.35,419.55,529.73,0.188,430.14,0,10.59,0.0246
54237,2024-10-09,DE-Hamburg,T0080,83020,Thermostat Replace,322.96,119.51,16.21,458.68,523.7,0.277,378.64,0,-80.04,-0.2114
54238,2024-12-01,DE-Berlin,T0434,82010,Evaporator Coil Replace,375.68,77.92,30.26,483.86,603.57,0.144,516.66,0,32.8,0.0635
54239,2024-01-13,DE-Munich,T0218,85005,Refrigerant Charge,192.68,90.73,24.73,308.14,375.01,0.257,278.63,1,-29.51,-0.1059
54240,2024-08-27,DE-Berlin,T0173,82010,Evaporator Coil Replace,514.24,114.93,16.22,645.39,753.5,0.067,703.02,0,57.63,0.082
54241,2024-11-15,DE-Berlin,T0076,82010,Evaporator Coil Replace,1518.39,37.75,21.17,1577.31,2058.55,0.044,1967.97,0,390.66,0.1985
54242,2024-05-26,DE-Berlin,T0404,82010,Evaporator Coil Replace,718.52,67.62,13.69,799.83,1044.23,0.047,995.15,0,195.32,0.1963
54243,2024-07-22,EU-EMEA-Remote,T0304,81120,Compressor Repair/Replace,700.64,77.39,16.29,794.32,994.04,0.105,889.67,1,95.35,0.1072
54244,2024-03-20,EU-EMEA-Remote,T0319,83020,Thermostat Replace,61.07,83.83,12.85,157.75,171.82,0.026,167.35,0,9.6,0.0574
54245,2024-02-12,DE-Hamburg,T0054,83020,Thermostat Replace,80.09,59.07,29.65,168.81,200.66,0.102,180.19,0,11.38,0.0632
54246,2024-03-29,NL-Amsterdam,T0350,85005,Refrigerant Charge,87.6,57.56,21.43,166.59,193.36,0.054,182.92,0,16.33,0.0893
54247,2024-05-27,DE-Hamburg,T0407,84015,Leak Diagnosis & Seal,208.86,40.09,14.47,263.42,322.83,0.157,272.15,0,8.73,0.0321
54248,2024-04-04,DE-Hamburg,T0485,85005,Refrigerant Charge,154.78,106.23,26.14,287.15,385.54,0.05,366.26,0,79.11,0.216
54249,2024-05-30,NL-Amsterdam,T0414,85005,Refrigerant Charge,183.1,57.79,22.01,262.9,297.95,0.098,268.75,0,5.85,0.0218
54250,2024-01-02,EU-EMEA-Remote,T0126,82010,Evaporator Coil Replace,355.86,62.67,30.4,448.93,526.05,0.229,405.58,1,-43.35,-0.1069
54251,2024-01-22,DE-Hamburg,T0463,82010,Evaporator Coil Replace,220.99,93.04,23.07,337.1,400.75,0.053,379.51,0,42.41,0.1117
54252,2024-11-08,NL-Amsterdam,T0378,85005,Refrigerant Charge,58.81,64.43,10.5,133.74,166.93,0.066,155.91,0,22.17,0.1422
54253,2024-11-23,DE-Munich,T0345,83020,Thermostat Replace,168.74,41.44,18.03,228.21,271.35,0.111,241.23,0,13.02,0.054
54254,2024-01-07,DE-Hamburg,T0064,81433,Drier Replace,307.51,39.71,12.74,359.96,437.74,0.079,403.16,0,43.2,0.1072
54255,2024-07-24,AT-Vienna,T0111,84015,Leak Diagnosis & Seal,216.02,75.35,26.5,317.87,377.36,0.03,366.04,0,48.17,0.1316
54256,2024-04-23,DE-Berlin,T0185,84015,Leak Diagnosis & Seal,54.68,111.91,30.68,197.27,241.75,0.054,228.7,0,31.43,0.1374
54257,2024-09-28,EU-EMEA-Remote,T0356,83020,Thermostat Replace,237.82,78.34,9.65,325.81,417.19,0.163,349.19,0,23.38,0.067
54258,2024-03-23,DE-Berlin,T0412,82010,Evaporator Coil Replace,313.45,87.82,21.0,422.27,468.29,0.278,338.11,0,-84.16,-0.2489
54259,2024-06-27,DE-Munich,T0017,84015,Leak Diagnosis & Seal,74.87,31.07,31.22,137.16,164.43,0.041,157.69,0,20.53,0.1302
54260,2024-07-28,EU-EMEA-Remote,T0113,85005,Refrigerant Charge,144.72,40.73,9.53,194.98,267.81,0.048,254.96,0,59.98,0.2353
54261,2024-11-23,NL-Amsterdam,T0206,81120,Compressor Repair/Replace,622.71,147.11,18.52,788.34,1030.9,0.109,918.53,0,130.19,0.1417
54262,2024-05-03,NL-Amsterdam,T0252,85005,Refrigerant Charge,105.55,94.81,22.0,222.36,255.81,0.136,221.02,0,-1.34,-0.0061
54263,2024-04-22,DE-Munich,T0113,84015,Leak Diagnosis & Seal,17.58,96.49,30.54,144.61,187.32,0.149,159.41,1,14.8,0.0928
54264,2024-01-12,AT-Vienna,T0381,82010,Evaporator Coil Replace,300.85,74.89,26.36,402.1,515.76,0.218,403.32,0,1.22,0.003
54265,2024-05-05,EU-EMEA-Remote,T0355,84015,Leak Diagnosis & Seal,141.23,70.71,27.99,239.93,274.53,0.131,238.57,0,-1.36,-0.0057
54266,2024-02-22,DE-Hamburg,T0315,84015,Leak Diagnosis & Seal,282.73,76.76,26.82,386.31,505.57,0.081,464.62,0,78.31,0.1685
54267,2024-11-26,DE-Berlin,T0274,81433,Drier Replace,189.38,138.06,19.01,346.45,436.91,0.115,386.67,0,40.22,0.104
54268,2024-10-09,DE-Berlin,T0137,85005,Refrigerant Charge,98.37,76.22,35.15,209.74,251.2,0.084,230.1,0,20.36,0.0885
54269,2024-05-19,DE-Berlin,T0437,83020,Thermostat Replace,80.21,112.83,16.63,209.67,251.45,0.123,220.52,1,10.85,0.0492
54270,2024-04-06,DE-Munich,T0361,84015,Leak Diagnosis & Seal,598.86,79.31,5.0,683.17,772.99,0.075,715.02,1,31.85,0.0445
54271,2024-01-05,EU-EMEA-Remote,T0026,82010,Evaporator Coil Replace,539.59,97.09,7.6,644.28,695.44,0.1,625.9,1,-18.38,-0.0294
54272,2024-02-26,DE-Berlin,T0357,81120,Compressor Repair/Replace,439.56,73.97,21.06,534.59,581.99,0.098,524.95,0,-9.64,-0.0184
54273,2024-11-29,NL-Amsterdam,T0479,82010,Evaporator Coil Replace,685.91,68.19,19.35,773.45,1003.81,0.088,915.47,0,142.02,0.1551
54274,2024-03-09,DE-Munich,T0348,85005,Refrigerant Charge,121.11,57.78,17.71,196.6,232.18,0.034,224.29,0,27.69,0.1235
54275,2024-04-27,AT-Vienna,T0272,84015,Leak Diagnosis & Seal,706.5,80.82,23.2,810.52,991.44,0.111,881.39,1,70.87,0.0804
54276,2024-02-28,DE-Hamburg,T0364,81120,Compressor Repair/Replace,395.24,49.16,31.6,476.0,502.09,0.102,450.88,0,-25.12,-0.0557
54277,2024-02-02,EU-EMEA-Remote,T0048,83020,Thermostat Replace,136.27,82.88,25.63,244.78,277.37,0.063,259.9,0,15.12,0.0582
54278,2024-11-13,DE-Hamburg,T0366,85005,Refrigerant Charge,182.78,86.49,27.19,296.46,381.99,0.11,339.97,0,43.51,0.128
54279,2024-02-19,EU-EMEA-Remote,T0343,82010,Evaporator Coil Replace,300.06,16.0,13.36,329.42,391.53,0.068,364.91,0,35.49,0.0973
54280,2024-01-19,NL-Amsterdam,T0131,83020,Thermostat Replace,73.42,88.63,17.84,179.89,214.16,0.092,194.46,0,14.57,0.0749
54281,2024-08-01,DE-Berlin,T0485,84015,Leak Diagnosis & Seal,531.05,51.08,27.6,609.73,746.73,0.051,708.65,0,98.92,0.1396
54282,2024-07-15,AT-Vienna,T0364,84015,Leak Diagnosis & Seal,92.78,111.96,22.86,227.6,249.28,0.063,233.58,0,5.98,0.0256
54283,2024-02-16,DE-Hamburg,T0185,81433,Drier Replace,75.19,93.11,25.82,194.12,242.13,0.059,227.84,0,33.72,0.148
54284,2024-06-15,EU-EMEA-Remote,T0280,81433,Drier Replace,172.91,72.06,26.91,271.88,328.44,0.026,319.9,0,48.02,0.1501
54285,2024-10-15,AT-Vienna,T0005,81433,Drier Replace,92.4,90.85,23.33,206.58,221.27,0.032,214.19,0,7.61,0.0355
54286,2024-05-20,NL-Amsterdam,T0364,84015,Leak Diagnosis & Seal,54.85,114.91,34.66,204.42,268.93,0.169,223.48,1,19.06,0.0853
54287,2024-03-24,DE-Munich,T0066,83020,Thermostat Replace,48.58,70.92,17.75,137.25,148.67,0.117,131.28,1,-5.97,-0.0455
54288,2024-06-30,DE-Hamburg,T0319,81433,Drier Replace,94.68,116.08,15.45,226.21,278.37,0.154,235.5,1,9.29,0.0394
54289,2024-03-19,DE-Berlin,T0479,84015,Leak Diagnosis & Seal,326.45,58.24,7.88,392.57,494.85,0.047,471.59,0,79.02,0.1676
54290,2024-08-02,DE-Berlin,T0424,81120,Compressor Repair/Replace,271.41,114.47,27.99,413.87,513.2,0.022,501.91,0,88.04,0.1754
54291,2024-01-14,NL-Amsterdam,T0414,83020,Thermostat Replace,235.58,71.03,17.44,324.05,388.93,0.104,348.48,0,24.43,0.0701
54292,2024-08-02,DE-Munich,T0283,81120,Compressor Repair/Replace,115.4,55.21,32.13,202.74,250.48,0.172,207.4,0,4.66,0.0225
54293,2024-05-07,DE-Munich,T0231,85005,Refrigerant Charge,62.57,74.16,23.98,160.71,181.73,0.086,166.1,0,5.39,0.0325
54294,2024-11-05,DE-Hamburg,T0393,81433,Drier Replace,218.65,42.57,19.29,280.51,364.39,0.077,336.33,0,55.82,0.166
54295,2024-09-04,DE-Munich,T0041,82010,Evaporator Coil Replace,212.56,96.88,13.56,323.0,391.35,0.117,345.56,0,22.56,0.0653
54296,2024-01-29,DE-Hamburg,T0157,81120,Compressor Repair/Replace,240.14,39.12,28.77,308.03,364.92,0.135,315.66,0,7.63,0.0242
54297,2024-10-06,NL-Amsterdam,T0101,81433,Drier Replace,73.7,112.37,21.57,207.64,206.44,0.281,148.43,0,-59.21,-0.3989
54298,2024-12-03,AT-Vienna,T0185,81433,Drier Replace,69.16,66.05,24.14,159.35,193.93,0.197,155.73,1,-3.62,-0.0232
54299,2024-11-14,EU-EMEA-Remote,T0079,85005,Refrigerant Charge,80.09,98.22,26.84,205.15,237.63,0.082,218.14,0,12.99,0.0595
54300,2024-07-20,DE-Munich,T0374,81120,Compressor Repair/Replace,612.62,77.42,24.13,714.17,868.35,0.032,840.56,0,126.39,0.1504
54301,2024-12-26,NL-Amsterdam,T0447,84015,Leak Diagnosis & Seal,73.15,73.27,15.2,161.62,188.49,0.194,151.92,0,-9.7,-0.0638
54302,2024-02-26,AT-Vienna,T0414,82010,Evaporator Coil Replace,793.46,77.12,26.17,896.75,1112.12,0.124,974.22,0,77.47,0.0795
54303,2024-08-05,DE-Munich,T0240,81120,Compressor Repair/Replace,573.71,93.88,28.56,696.15,739.56,0.1,665.6,0,-30.55,-0.0459
54304,2024-03-02,AT-Vienna,T0023,84015,Leak Diagnosis & Seal,168.25,87.78,24.88,280.91,316.64,0.235,242.23,0,-38.68,-0.1597
54305,2024-06-05,AT-Vienna,T0364,82010,Evaporator Coil Replace,377.69,34.54,27.06,439.29,515.3,0.143,441.61,0,2.32,0.0053
54306,2024-07-20,DE-Hamburg,T0178,84015,Leak Diagnosis & Seal,308.82,65.2,27.8,401.82,444.2,0.229,342.48,0,-59.34,-0.1733
54307,2024-01-17,DE-Berlin,T0405,81120,Compressor Repair/Replace,494.21,78.69,18.83,591.73,753.08,0.143,645.39,0,53.66,0.0831
54308,2024-11-17,AT-Vienna,T0182,83020,Thermostat Replace,53.58,57.47,18.53,129.58,129.59,0.1,116.63,0,-12.95,-0.111
54309,2024-01-06,DE-Hamburg,T0431,81433,Drier Replace,320.68,119.08,39.81,479.57,550.67,0.079,507.17,1,27.6,0.0544
54310,2024-02-27,DE-Munich,T0083,84015,Leak Diagnosis & Seal,267.07,96.22,32.61,395.9,513.1,0.047,488.98,0,93.08,0.1904
54311,2024-11-20,DE-Munich,T0334,85005,Refrigerant Charge,66.61,56.87,21.61,145.09,188.52,0.174,155.72,1,10.63,0.0683
54312,2024-11-13,DE-Munich,T0258,84015,Leak Diagnosis & Seal,269.22,56.21,27.46,352.89,455.2,0.077,420.15,0,67.26,0.1601
54313,2024-06-17,EU-EMEA-Remote,T0190,83020,Thermostat Replace,56.55,69.88,14.5,140.93,185.95,0.045,177.58,0,36.65,0.2064
54314,2024-03-22,EU-EMEA-Remote,T0122,84015,Leak Diagnosis & Seal,245.15,69.43,17.21,331.79,353.06,0.035,340.7,0,8.91,0.0262
54315,2024-08-06,EU-EMEA-Remote,T0203,81120,Compressor Repair/Replace,218.02,61.59,12.02,291.63,372.22,0.25,279.17,1,-12.46,-0.0446
54316,2024-06-25,DE-Munich,T0352,84015,Leak Diagnosis & Seal,279.8,55.96,24.29,360.05,438.88,0.105,392.8,0,32.75,0.0834
54317,2024-07-22,DE-Munich,T0381,83020,Thermostat Replace,145.9,84.37,24.38,254.65,294.43,0.144,252.03,1,-2.62,-0.0104
54318,2024-03-11,EU-EMEA-Remote,T0313,85005,Refrigerant Charge,336.99,81.54,30.67,449.2,552.69,0.059,520.08,0,70.88,0.1363
54319,2024-09-22,DE-Hamburg,T0176,82010,Evaporator Coil Replace,569.48,79.73,20.3,669.51,736.06,0.024,718.39,0,48.88,0.068
54320,2024-04-07,DE-Munich,T0137,83020,Thermostat Replace,167.17,67.26,30.53,264.96,334.91,0.037,322.52,0,57.56,0.1785
54321,2024-12-10,DE-Munich,T0030,84015,Leak Diagnosis & Seal,51.55,75.63,27.22,154.4,179.72,0.105,160.85,0,6.45,0.0401
54322,2024-10-17,DE-Hamburg,T0098,84015,Leak Diagnosis & Seal,479.46,62.52,41.67,583.65,629.57,0.121,553.39,0,-30.26,-0.0547
54323,2024-07-26,DE-Berlin,T0162,81120,Compressor Repair/Replace,225.41,98.48,35.34,359.23,425.09,0.172,351.97,0,-7.26,-0.0206
54324,2024-01-02,DE-Berlin,T0162,81120,Compressor Repair/Replace,122.94,110.18,33.94,267.06,279.99,0.11,249.19,0,-17.87,-0.0717
54325,2024-05-03,NL-Amsterdam,T0359,81433,Drier Replace,663.69,39.99,28.69,732.37,810.52,0.11,721.36,0,-11.01,-0.0153
54326,2024-10-06,EU-EMEA-Remote,T0066,83020,Thermostat Replace,70.79,80.32,14.85,165.96,211.5,0.13,184.0,1,18.04,0.098
54327,2024-03-14,DE-Hamburg,T0459,82010,Evaporator Coil Replace,929.41,38.25,24.34,992.0,1229.0,0.174,1015.15,1,23.15,0.0228
54328,2024-06-14,DE-Hamburg,T0207,81120,Compressor Repair/Replace,389.58,93.07,39.98,522.63,687.63,0.01,680.75,0,158.12,0.2323
54329,2024-01-22,EU-EMEA-Remote,T0038,81433,Drier Replace,270.96,96.45,26.06,393.47,425.63,0.102,382.22,0,-11.25,-0.0294
54330,2024-06-02,EU-EMEA-Remote,T0437,83020,Thermostat Replace,123.36,66.9,15.43,205.69,275.13,0.1,247.62,0,41.93,0.1693
54331,2024-10-21,DE-Munich,T0247,85005,Refrigerant Charge,68.19,80.73,24.69,173.61,196.93,0.067,183.74,0,10.13,0.0551
